Gene_Symbol,Sample,Group,Expression
SPINK7,GSM1551339,CIN1,8.6416661153125
MAL,GSM1551339,CIN1,11.6655881027344
CDKN2A,GSM1551339,CIN1,8.44391082732031
CRNN,GSM1551340,CIN1,13.6814195214844
CRISP3,GSM1551340,CIN1,8.90457312582813
TMPRSS11B,GSM1551340,CIN1,11.3264672477344
SPINK7,GSM1551340,CIN1,7.08457128204688
MAL,GSM1551340,CIN1,14.5312070875781
CDKN2A,GSM1551340,CIN1,6.26645748003125
CRNN,GSM1551341,CIN1,14.8167715766406
CRISP3,GSM1551341,CIN1,15.1231591539063
TMPRSS11B,GSM1551341,CIN1,14.1072403828125
SPINK7,GSM1551341,CIN1,14.4753971467188
MAL,GSM1551341,CIN1,14.9425124399219
CDKN2A,GSM1551341,CIN1,3.02104368484375
CRNN,GSM1551342,CIN1,14.8582778235938
CRISP3,GSM1551342,CIN1,15.5916422925
TMPRSS11B,GSM1551342,CIN1,14.6231822919531
SPINK7,GSM1551342,CIN1,15.3517894714844
MAL,GSM1551342,CIN1,15.0598928127344
CDKN2A,GSM1551342,CIN1,2.49748661148438
CRNN,GSM1551343,CIN1,14.6054841483594
CRISP3,GSM1551343,CIN1,11.0330074913281
TMPRSS11B,GSM1551343,CIN1,12.1982475871094
SPINK7,GSM1551343,CIN1,12.3868694275781
MAL,GSM1551343,CIN1,14.8630963115625
CDKN2A,GSM1551343,CIN1,12.2120070673437
CRNN,GSM1551344,CIN1,14.7933210528125
CRISP3,GSM1551344,CIN1,13.3310901784375
TMPRSS11B,GSM1551344,CIN1,13.3793150935937
SPINK7,GSM1551344,CIN1,12.6787898239844
MAL,GSM1551344,CIN1,14.8401032669531
CDKN2A,GSM1551344,CIN1,7.80643641603125
CRNN,GSM1551345,CIN1,12.9710160007812
CRISP3,GSM1551345,CIN1,9.54158579979688
TMPRSS11B,GSM1551345,CIN1,7.59094704898437
SPINK7,GSM1551345,CIN1,2.50375743439844
MAL,GSM1551345,CIN1,12.7683273076563
CDKN2A,GSM1551345,CIN1,1.8092444493125
CRNN,GSM1551346,CIN1,9.68377027728125
CRISP3,GSM1551346,CIN1,6.23636897707031
TMPRSS11B,GSM1551346,CIN1,5.45090231534375
SPINK7,GSM1551346,CIN1,4.57191968896094
MAL,GSM1551346,CIN1,7.27458988896094
CDKN2A,GSM1551346,CIN1,11.7488010728906
CRNN,GSM1551347,CIN1,10.7910790651484
CRISP3,GSM1551347,CIN1,3.71122170935937
TMPRSS11B,GSM1551347,CIN1,6.28095933413281
SPINK7,GSM1551347,CIN1,2.69013872853906
MAL,GSM1551347,CIN1,10.8475189990234
CDKN2A,GSM1551347,CIN1,11.6854823583594
CRNN,GSM1551348,CIN1,14.4980899305469
CRISP3,GSM1551348,CIN1,13.2751741033594
TMPRSS11B,GSM1551348,CIN1,12.9102991598438
SPINK7,GSM1551348,CIN1,12.7889749375
MAL,GSM1551348,CIN1,15.0938177140625
CDKN2A,GSM1551348,CIN1,4.38393903603125
CRNN,GSM1551349,CIN2,15.1231591539063
CRISP3,GSM1551349,CIN2,14.9578128753125
TMPRSS11B,GSM1551349,CIN2,14.2891972464062
SPINK7,GSM1551349,CIN2,14.73241236
MAL,GSM1551349,CIN2,15.4839147409375
CDKN2A,GSM1551349,CIN2,1.9394670741875
CRNN,GSM1551350,CIN2,10.6344112338437
CRISP3,GSM1551350,CIN2,4.01394968252344
TMPRSS11B,GSM1551350,CIN2,11.4709608239844
SPINK7,GSM1551350,CIN2,7.48810497629688
MAL,GSM1551350,CIN2,13.5871978445313
CDKN2A,GSM1551350,CIN2,10.8932970360156
CRNN,GSM1551351,CIN2,9.69046458305469
CRISP3,GSM1551351,CIN2,4.19871659302344
TMPRSS11B,GSM1551351,CIN2,7.29954076225
SPINK7,GSM1551351,CIN2,6.20683061492969
MAL,GSM1551351,CIN2,10.9123300679063
CDKN2A,GSM1551351,CIN2,12.4950666603125
CRNN,GSM1551352,CIN2,14.7886482960938
CRISP3,GSM1551352,CIN2,13.3027652257813
TMPRSS11B,GSM1551352,CIN2,13.6880851482812
SPINK7,GSM1551352,CIN2,14.4753971467188
MAL,GSM1551352,CIN2,14.8733455592969
CDKN2A,GSM1551352,CIN2,2.65843446900781
CRNN,GSM1551353,CIN2,14.8355381710938
CRISP3,GSM1551353,CIN2,13.4745275794531
TMPRSS11B,GSM1551353,CIN2,13.1969741491406
SPINK7,GSM1551353,CIN2,11.8636936235156
MAL,GSM1551353,CIN2,14.5312070875781
CDKN2A,GSM1551353,CIN2,11.6693279450781
CRNN,GSM1551354,CIN2,14.9281323598437
CRISP3,GSM1551354,CIN2,12.8667896852344
TMPRSS11B,GSM1551354,CIN2,13.2360330760156
SPINK7,GSM1551354,CIN2,13.016195594375
MAL,GSM1551354,CIN2,14.1963942842969
CDKN2A,GSM1551354,CIN2,11.8018725279688
CRNN,GSM1551355,CIN2,14.8538110544531
CRISP3,GSM1551355,CIN2,13.7325535973438
TMPRSS11B,GSM1551355,CIN2,13.7302573188281
SPINK7,GSM1551355,CIN2,14.2134542847656
MAL,GSM1551355,CIN2,14.8304652573438
CDKN2A,GSM1551355,CIN2,3.07814566805469
CRNN,GSM1551356,CIN2,12.5086988069531
CRISP3,GSM1551356,CIN2,9.93632923310937
TMPRSS11B,GSM1551356,CIN2,8.99680829145312
SPINK7,GSM1551356,CIN2,5.77159996686719
MAL,GSM1551356,CIN2,13.218170463125
CDKN2A,GSM1551356,CIN2,10.0137279087578
CRNN,GSM1551357,CIN2,13.8619238235938
CRISP3,GSM1551357,CIN2,13.2289874039844
TMPRSS11B,GSM1551357,CIN2,12.2390934135156
SPINK7,GSM1551357,CIN2,14.0027058417969
MAL,GSM1551357,CIN2,14.1428449950781
CDKN2A,GSM1551357,CIN2,12.2009139219531
CRNN,GSM1551358,CIN2,14.6567785759375
CRISP3,GSM1551358,CIN2,12.8247366645312
TMPRSS11B,GSM1551358,CIN2,12.4141891379687
SPINK7,GSM1551358,CIN2,12.2850906461719
MAL,GSM1551358,CIN2,13.3679022144531
CDKN2A,GSM1551358,CIN2,12.30001380875
CRNN,GSM1551359,CIN2,13.6906256828906
CRISP3,GSM1551359,CIN2,11.3866027415625
TMPRSS11B,GSM1551359,CIN2,11.0451317604531
SPINK7,GSM1551359,CIN2,9.40268852621094
MAL,GSM1551359,CIN2,13.7675453665625
CDKN2A,GSM1551359,CIN2,11.2830047976563
CRNN,GSM1551360,CIN2,14.2641460722656
CRISP3,GSM1551360,CIN2,7.47995023545313
TMPRSS11B,GSM1551360,CIN2,13.32377867875
SPINK7,GSM1551360,CIN2,11.6989165130469
MAL,GSM1551360,CIN2,14.4509176011719
CDKN2A,GSM1551360,CIN2,11.3242433096094
CRNN,GSM1551361,CIN2,13.1202378873437
CRISP3,GSM1551361,CIN2,11.5230537989844
TMPRSS11B,GSM1551361,CIN2,13.089114283125
SPINK7,GSM1551361,CIN2,8.89242523852344
MAL,GSM1551361,CIN2,14.0240339741406
CDKN2A,GSM1551361,CIN2,11.0335613491641
CRNN,GSM1551362,CIN2,14.4834457236719
CRISP3,GSM1551362,CIN2,13.7699915614063
TMPRSS11B,GSM1551362,CIN2,14.161486113125
SPINK7,GSM1551362,CIN2,14.7509554424219
MAL,GSM1551362,CIN2,15.1357693277344
CDKN2A,GSM1551362,CIN2,2.11028215083594
CRNN,GSM1551363,CIN2,11.2942651796875
CRISP3,GSM1551363,CIN2,9.5869481975
TMPRSS11B,GSM1551363,CIN2,8.26952557772656
SPINK7,GSM1551363,CIN2,9.01721722903906
MAL,GSM1551363,CIN2,11.0509564205469
CDKN2A,GSM1551363,CIN2,11.7204737372656
CRNN,GSM1551364,CIN2,12.6859330358594
CRISP3,GSM1551364,CIN2,7.53709830821875
TMPRSS11B,GSM1551364,CIN2,10.3496327548203
SPINK7,GSM1551364,CIN2,7.76340136885938
MAL,GSM1551364,CIN2,9.97690074192969
CDKN2A,GSM1551364,CIN2,11.5101562313281
CRNN,GSM1551365,CIN2,7.12946396060937
CRISP3,GSM1551365,CIN2,5.17681922703125
TMPRSS11B,GSM1551365,CIN2,3.26503044919531
SPINK7,GSM1551365,CIN2,2.67857842840625
MAL,GSM1551365,CIN2,9.43428390755469
CDKN2A,GSM1551365,CIN2,4.65465212404687
CRNN,GSM1551366,CIN2,14.4255344592188
CRISP3,GSM1551366,CIN2,14.8783627701563
TMPRSS11B,GSM1551366,CIN2,13.5009894297656
SPINK7,GSM1551366,CIN2,12.3953473801563
MAL,GSM1551366,CIN2,14.5276468307031
CDKN2A,GSM1551366,CIN2,11.5363994553125
CRNN,GSM1551367,CIN2,14.7984894485938
CRISP3,GSM1551367,CIN2,15.4374494496094
TMPRSS11B,GSM1551367,CIN2,14.4676726314844
SPINK7,GSM1551367,CIN2,14.26096988375
MAL,GSM1551367,CIN2,14.9879236180469
CDKN2A,GSM1551367,CIN2,8.78076779510156
CRNN,GSM1551368,CIN2,12.4190869796094
CRISP3,GSM1551368,CIN2,3.62556172014844
TMPRSS11B,GSM1551368,CIN2,12.31323117875
SPINK7,GSM1551368,CIN2,10.1005390822734
MAL,GSM1551368,CIN2,11.2587477389844
CDKN2A,GSM1551368,CIN2,11.7923260478906
CRNN,GSM1551369,CIN2,14.3807520175
CRISP3,GSM1551369,CIN2,9.61018412440625
TMPRSS11B,GSM1551369,CIN2,12.5865945023438
SPINK7,GSM1551369,CIN2,9.33290036829687
MAL,GSM1551369,CIN2,14.4075091594531
CDKN2A,GSM1551369,CIN2,10.4714379590313
CRNN,GSM1551370,CIN2,14.0147783559375
CRISP3,GSM1551370,CIN2,7.65988716817187
TMPRSS11B,GSM1551370,CIN2,13.393260900625
SPINK7,GSM1551370,CIN2,8.57866237560937
MAL,GSM1551370,CIN2,14.1739702189844
CDKN2A,GSM1551370,CIN2,11.1205143477344
CRNN,GSM1551371,CIN3,11.8977409046094
CRISP3,GSM1551371,CIN3,4.7367079375625
TMPRSS11B,GSM1551371,CIN3,10.1040779136719
SPINK7,GSM1551371,CIN3,11.2850931402344
MAL,GSM1551371,CIN3,12.7233433314062
CDKN2A,GSM1551371,CIN3,11.7198109024219
CRNN,GSM1551372,CIN3,12.4044306940625
CRISP3,GSM1551372,CIN3,5.51397984000781
TMPRSS11B,GSM1551372,CIN3,10.1967074145859
SPINK7,GSM1551372,CIN3,9.44601945960937
MAL,GSM1551372,CIN3,12.050861483125
CDKN2A,GSM1551372,CIN3,11.5945091120313
CRNN,GSM1551373,CIN3,13.1152190639063
CRISP3,GSM1551373,CIN3,5.66329914725
TMPRSS11B,GSM1551373,CIN3,8.657233951375
SPINK7,GSM1551373,CIN3,4.50343297282031
MAL,GSM1551373,CIN3,11.8780688871875
CDKN2A,GSM1551373,CIN3,11.1479131567969
CRNN,GSM1551374,CIN3,12.2962536007813
CRISP3,GSM1551374,CIN3,3.6525521603125
TMPRSS11B,GSM1551374,CIN3,10.0076993226641
SPINK7,GSM1551374,CIN3,11.1107567892187
MAL,GSM1551374,CIN3,7.42018590359375
CDKN2A,GSM1551374,CIN3,12.7333404853125
CRNN,GSM1551375,CIN3,13.6463207249219
CRISP3,GSM1551375,CIN3,11.6814660892188
TMPRSS11B,GSM1551375,CIN3,12.2475700233594
SPINK7,GSM1551375,CIN3,12.1364811240625
MAL,GSM1551375,CIN3,14.4041563378125
CDKN2A,GSM1551375,CIN3,11.3847055648438
CRNN,GSM1551376,CIN3,15.0704620430469
CRISP3,GSM1551376,CIN3,13.1797211491406
TMPRSS11B,GSM1551376,CIN3,13.8114142366406
SPINK7,GSM1551376,CIN3,13.6532815875
MAL,GSM1551376,CIN3,15.1486190874219
CDKN2A,GSM1551376,CIN3,9.12216064390625
CRNN,GSM1551377,CIN3,15.0540024903906
CRISP3,GSM1551377,CIN3,12.6352687080469
TMPRSS11B,GSM1551377,CIN3,10.6610330987188
SPINK7,GSM1551377,CIN3,9.92663520946875
MAL,GSM1551377,CIN3,14.849519444375
CDKN2A,GSM1551377,CIN3,2.17023171261719
CRNN,GSM1551378,CIN3,14.1963942842969
CRISP3,GSM1551378,CIN3,12.214439366875
TMPRSS11B,GSM1551378,CIN3,12.8153729500781
SPINK7,GSM1551378,CIN3,13.8967161428906
MAL,GSM1551378,CIN3,14.6187871625781
CDKN2A,GSM1551378,CIN3,9.37688337328906
CRNN,GSM1551379,CIN3,13.31988912625
CRISP3,GSM1551379,CIN3,3.49112924189844
TMPRSS11B,GSM1551379,CIN3,10.6518053767578
SPINK7,GSM1551379,CIN3,7.58409640084375
MAL,GSM1551379,CIN3,14.3722369990625
CDKN2A,GSM1551379,CIN3,10.4971472991562
CRNN,GSM1551380,CIN3,12.8845241390625
CRISP3,GSM1551380,CIN3,3.78383730659375
TMPRSS11B,GSM1551380,CIN3,11.6623065304688
SPINK7,GSM1551380,CIN3,9.97350748654688
MAL,GSM1551380,CIN3,13.4495834726563
CDKN2A,GSM1551380,CIN3,12.1256184946094
CRNN,GSM1551381,CIN3,11.1589698044531
CRISP3,GSM1551381,CIN3,4.50729852001562
TMPRSS11B,GSM1551381,CIN3,11.0446620467969
SPINK7,GSM1551381,CIN3,10.41318199275
MAL,GSM1551381,CIN3,12.3392406717969
CDKN2A,GSM1551381,CIN3,12.0602413032813
CRNN,GSM1551382,CIN3,14.4346720484375
CRISP3,GSM1551382,CIN3,11.9122421075781
TMPRSS11B,GSM1551382,CIN3,13.7627481171875
SPINK7,GSM1551382,CIN3,13.4703376247656
MAL,GSM1551382,CIN3,14.7127386242969
CDKN2A,GSM1551382,CIN3,11.1990301761719
CRNN,GSM1551383,CIN3,10.0871183804531
CRISP3,GSM1551383,CIN3,3.92396521553125
TMPRSS11B,GSM1551383,CIN3,6.85927602040625
SPINK7,GSM1551383,CIN3,5.84745479663281
MAL,GSM1551383,CIN3,9.19599760792187
CDKN2A,GSM1551383,CIN3,12.0534638809375
CRNN,GSM1551384,CIN3,14.3884118213281
CRISP3,GSM1551384,CIN3,12.5928714665625
TMPRSS11B,GSM1551384,CIN3,13.59384220125
SPINK7,GSM1551384,CIN3,13.0989363739063
MAL,GSM1551384,CIN3,14.8167715766406
CDKN2A,GSM1551384,CIN3,11.2571076596875
CRNN,GSM1551385,CIN3,9.77846019710156
CRISP3,GSM1551385,CIN3,3.64236776960938
TMPRSS11B,GSM1551385,CIN3,9.14898203551562
SPINK7,GSM1551385,CIN3,2.40433180202344
MAL,GSM1551385,CIN3,7.27532920133594
CDKN2A,GSM1551385,CIN3,10.4179510163359
CRNN,GSM1551386,CIN3,7.89790739285938
CRISP3,GSM1551386,CIN3,4.21583244010938
TMPRSS11B,GSM1551386,CIN3,2.75934721395312
SPINK7,GSM1551386,CIN3,2.47213815875781
MAL,GSM1551386,CIN3,7.6226539745625
CDKN2A,GSM1551386,CIN3,10.9880214838281
CRNN,GSM1551387,CIN3,1.53824132710938
CRISP3,GSM1551387,CIN3,3.72019367771875
TMPRSS11B,GSM1551387,CIN3,2.81151019595313
SPINK7,GSM1551387,CIN3,2.33789039269531
MAL,GSM1551387,CIN3,7.42515734325
CDKN2A,GSM1551387,CIN3,12.1136733704687
CRNN,GSM1551388,CIN3,13.1814789255469
CRISP3,GSM1551388,CIN3,12.3582730560938
TMPRSS11B,GSM1551388,CIN3,11.7069537291406
SPINK7,GSM1551388,CIN3,13.4961282392188
MAL,GSM1551388,CIN3,14.1299046871094
CDKN2A,GSM1551388,CIN3,10.5936164751016
CRNN,GSM1551389,CIN3,13.5510257457031
CRISP3,GSM1551389,CIN3,12.1847800417187
TMPRSS11B,GSM1551389,CIN3,12.5227661232031
SPINK7,GSM1551389,CIN3,11.9844142464844
MAL,GSM1551389,CIN3,14.5394732505469
CDKN2A,GSM1551389,CIN3,11.8149515945312
CRNN,GSM1551390,CIN3,8.25143542120312
CRISP3,GSM1551390,CIN3,3.42954874661719
TMPRSS11B,GSM1551390,CIN3,6.9376872585
SPINK7,GSM1551390,CIN3,3.01791861429688
MAL,GSM1551390,CIN3,2.56945021247656
CDKN2A,GSM1551390,CIN3,10.9914176525469
CRNN,GSM1551391,CIN3,13.7202640332031
CRISP3,GSM1551391,CIN3,11.6115120771094
TMPRSS11B,GSM1551391,CIN3,10.5305314600547
SPINK7,GSM1551391,CIN3,9.48559144475
MAL,GSM1551391,CIN3,14.2402425036719
CDKN2A,GSM1551391,CIN3,12.2052066833594
CRNN,GSM1551392,CIN3,11.4638904147656
CRISP3,GSM1551392,CIN3,9.36240892377344
TMPRSS11B,GSM1551392,CIN3,9.66294330891406
SPINK7,GSM1551392,CIN3,6.44608852030469
MAL,GSM1551392,CIN3,10.5020120384531
CDKN2A,GSM1551392,CIN3,11.0658300599375
CRNN,GSM1551393,CIN3,6.03901380345313
CRISP3,GSM1551393,CIN3,10.2416120272656
TMPRSS11B,GSM1551393,CIN3,3.38526033332031
SPINK7,GSM1551393,CIN3,2.35684479996094
MAL,GSM1551393,CIN3,9.79992933771094
CDKN2A,GSM1551393,CIN3,9.34075779207031
CRNN,GSM1551394,CIN3,4.88732469071875
CRISP3,GSM1551394,CIN3,9.1148367534375
TMPRSS11B,GSM1551394,CIN3,5.62606233983594
SPINK7,GSM1551394,CIN3,11.6101688621875
MAL,GSM1551394,CIN3,3.70760135769531
CDKN2A,GSM1551394,CIN3,10.8131238323438
CRNN,GSM1551395,CIN3,1.52096458340625
CRISP3,GSM1551395,CIN3,3.41613941030469
TMPRSS11B,GSM1551395,CIN3,2.70225223154688
SPINK7,GSM1551395,CIN3,2.33543057871094
MAL,GSM1551395,CIN3,3.88163064260937
CDKN2A,GSM1551395,CIN3,1.72248345424219
CRNN,GSM1551396,CIN3,13.8840372549219
CRISP3,GSM1551396,CIN3,6.98357706710156
TMPRSS11B,GSM1551396,CIN3,12.1186968727344
SPINK7,GSM1551396,CIN3,10.4153029882734
MAL,GSM1551396,CIN3,14.3278659145312
CDKN2A,GSM1551396,CIN3,11.2491808964062
CRNN,GSM1551397,CIN3,7.09253314596875
CRISP3,GSM1551397,CIN3,7.22443469094531
TMPRSS11B,GSM1551397,CIN3,3.44261098886719
SPINK7,GSM1551397,CIN3,2.34246425889844
MAL,GSM1551397,CIN3,9.87561658133594
CDKN2A,GSM1551397,CIN3,11.1122090534375
CRNN,GSM1551398,CIN3,1.55600783047656
CRISP3,GSM1551398,CIN3,8.48959295496094
TMPRSS11B,GSM1551398,CIN3,6.56991453564062
SPINK7,GSM1551398,CIN3,2.47083496870312
MAL,GSM1551398,CIN3,2.6171162965
CDKN2A,GSM1551398,CIN3,11.5439991696094
CRNN,GSM1551399,CIN3,12.7082619710156
CRISP3,GSM1551399,CIN3,10.0839377410938
TMPRSS11B,GSM1551399,CIN3,10.4481213067109
SPINK7,GSM1551399,CIN3,2.40257989610937
MAL,GSM1551399,CIN3,12.0287281553125
CDKN2A,GSM1551399,CIN3,11.5685938264063
CRNN,GSM1551400,CIN3,14.7738771333594
CRISP3,GSM1551400,CIN3,14.7647286594531
TMPRSS11B,GSM1551400,CIN3,13.697940161875
SPINK7,GSM1551400,CIN3,14.6054841483594
MAL,GSM1551400,CIN3,14.9879236180469
CDKN2A,GSM1551400,CIN3,2.38857784730469
