GB_ACC,logFC,P.Value,adj.P.Val,direction,Gene_Symbol
BE966599,-0.0817492439954481,0.641761820453289,0.753949250787401,ns,HNRNPA0
NM_017578,0.0817450920871918,0.0943252440564839,0.197825827713393,ns,ROPN1B
AI762431,-0.0817444151852698,0.723694295043148,0.814514337442004,ns,GNL3
NM_172000,-0.081742305890161,4.09286586650994e-06,5.06741517949915e-05,ns,TEDDM1
BC017927,0.0817382211419257,0.116721953366136,0.230777981359319,ns,ERAP2
BF435597,-0.0817367523867192,0.387013414787629,0.539999726554056,ns,LOC100132057
BC030098,-0.0817258134558703,0.021178167962161,0.0651395613341379,ns,NA
BF663662,0.0817184166370897,0.274820566587488,0.42605886402596,ns,TPCN2
NM_005772,0.0817171417647868,0.594273368811032,0.716826828581962,ns,RCL1
T97544,0.0817037607970601,0.20245520044002,0.342407663486137,ns,NA
AK091107,-0.081698205336544,0.568348045499725,0.69654054410613,ns,C15orf37
AB001596,-0.0816935688736518,0.210008450156526,0.35159998431632,ns,TMCC2
AW301937,-0.0816895773643993,0.162561270859397,0.293185782683671,ns,NA
AB013463,-0.0816866644373149,8.12158977097924e-06,9.12642761651213e-05,ns,FZR1
AA806003,-0.0816831416511845,0.482854482992772,0.625863480317184,ns,DET1
AB076580,-0.0816770388865797,0.207164402707423,0.348105965040412,ns,BCL6B
AF064105,-0.0816750805535729,0.702829594962839,0.799440769035186,ns,CDC14B
NM_002305,0.0816670702822666,0.86541398834835,0.914989238890859,ns,LGALS1
BE890973,0.0816620651507609,0.665687540527745,0.771610358494816,ns,SPATA5L1
BC041397,-0.0816451059136907,0.00983569537701244,0.0364001376719374,ns,NA
BU585231,-0.0816363573019911,1.44594833676161e-09,6.94141642796642e-08,ns,KIAA1671
AI911084,-0.0816200115684085,0.788634820806669,0.861233945839611,ns,NA
NM_003441,-0.0816194147941784,0.0962585782793604,0.200916099200103,ns,ZNF141
BC030210,0.0816183187570889,0.044435173129944,0.113093090984738,ns,CD79B
AA868332,-0.0815976325681316,0.695581162754563,0.794075420504504,ns,ZMIZ2
AW073741,-0.0815775378953223,0.6372089870199,0.750385854927501,ns,KCTD10
AW298438,-0.0815749216697821,0.607718802415461,0.72740813043873,ns,NFATC3
AU152240,-0.0815746137177746,0.000197462664142675,0.00141115264025437,ns,LOC100506457
BE503118,-0.081554397311153,0.713008816164521,0.806686218996769,ns,NA
AL109928,0.0815477081916858,0.709821587685987,0.80456013333081,ns,CDH26
AK025446,0.0815400570129268,0.0368429571645411,0.0984727525271429,ns,RSL1D1
AJ242655,0.0815336051115132,0.196192787980112,0.334530479564077,ns,NCKIPSD
AI218614,0.0815235110397592,0.0206305723831847,0.0638767694818049,ns,TSSK4
AB007895,-0.0815177511795486,0.690129949533254,0.789949424334751,ns,PCNXL2
AK096155,0.0815132587743672,0.262404941211726,0.412681755912475,ns,LOC100130987
BC041437,-0.081484725807385,0.0995977477643862,0.205809217096993,ns,NT5DC4
U03115,-0.0814799023337538,0.415171020846335,0.565776271582857,ns,NA
NM_001541,-0.0814794521762487,0.519822669305621,0.657176428227125,ns,HSPB2
AU155661,-0.0814788623991842,0.621216254009007,0.738254450662472,ns,AK126278
AW274369,-0.0814734483306849,0.133597185052584,0.254345083569573,ns,NA
BC031673,-0.0814661411494164,0.343479258383222,0.497621027194089,ns,LOC389199
NM_021983,-0.0814575751239754,0.806158585862163,0.873512183643921,ns,HLA-DRB1
AF053356,0.0814204017615783,0.00286296107445365,0.0134963222407542,ns,LRCH4
NM_000175,-0.0814144095738545,0.817974373355296,0.881975013860865,ns,GPI
AF332227,0.0813983691978226,1.49359749228575e-07,2.98462641222838e-06,ns,HSFY1
AI694242,0.0813935329425224,0.00138483301468526,0.00740997411598193,ns,NA
AU151357,0.0813918215306444,0.496365967140072,0.637431151113898,ns,CDS2
BC039544,-0.0813809021695961,1.06466647358966e-09,5.56940901553181e-08,ns,LOC101928417
AI741833,0.0813782208943898,0.21167443576692,0.353684441197455,ns,AP1G2
BC012155,0.0813774668721616,0.0332221443161733,0.0911327021718405,ns,NA
AW300309,0.0813387919320587,0.219030239874213,0.362470788468543,ns,RAB40A
AI829569,0.0813368823431917,0.579870204137763,0.705687928036716,ns,NA
AL512690,0.0813176235299924,0.744371531214287,0.829284641973968,ns,SMU1
AL050097,0.0813117901028662,0.803345298685618,0.871518181941512,ns,NA
AI621025,-0.0813000863304034,0.0430912138231882,0.110615297792046,ns,LINC00466
NM_014380,-0.0812924590309798,0.727364889887,0.817256691178017,ns,NGFRAP1
AI651638,-0.0812858244813541,0.0559958165858459,0.1345816807289,ns,NA
BC036619,-0.0812802983087813,0.651925008200686,0.761394762149314,ns,NA
AI147740,-0.0812802191254662,1.12881667744408e-07,2.37656380899204e-06,ns,CMTM5
